,0,1,2,3,4,5,6
0,conv1,0.1647597000002861,0.3307502915461858,0.4065239061911901,0.620442146062851,0.9487426320711771,0.8521015485127766
1,layer1.0.conv1,0.1647597000002861,0.2374099796017011,0.29085265199343363,0.41408908466498057,0.42683615485827126,0.501798423131307
2,layer1.0.conv2,0.1647597000002861,0.21538331309954326,0.30668392876784006,0.3725451588630676,0.4226202716430028,0.48331425885359447
3,layer1.1.conv1,0.1647597000002861,0.20640434920787812,0.2575019747018814,0.29863196313381196,0.3855190227429072,0.4371193011601766
4,layer1.1.conv2,0.1647597000002861,0.2180750012397766,0.24564643104871114,0.337844776113828,0.4747292101383209,0.4724354277054469
5,layer2.0.conv1,0.1647597000002861,0.1939029907186826,0.23898965020974478,0.28040976723035177,0.3825641661882401,0.5403290947278341
6,layer2.0.conv2,0.1647597000002861,0.20130660086870195,0.34676458140214284,0.4285483549038569,0.6034971296787262,0.7959333817164104
7,layer2.0.downsample.0,0.1647597000002861,0.1946689451734225,0.263722263276577,0.28275707562764485,0.33586758375167847,0.36607223749160767
8,layer2.1.conv1,0.1647597000002861,0.2177895357211431,0.2569571271538734,0.3315502295891444,0.4144031236569087,0.4684197872877121
9,layer2.1.conv2,0.1647597000002861,0.2691367993752162,0.3961210747559865,0.5389999806880951,0.7298665344715118,0.7979895015557606
10,layer3.0.conv1,0.1647597000002861,0.20971837639808655,0.2864075183868408,0.3450470447540283,0.37000643014907836,0.4294120689233144
11,layer3.0.conv2,0.1647597000002861,0.205399884780248,0.2701574524243673,0.43627539575099944,0.513312871257464,0.6822528521219889
12,layer3.0.downsample.0,0.1647597000002861,0.19509261002143224,0.2232903078198433,0.2500499000151952,0.3190956433614095,0.36794083615144096
13,layer3.1.conv1,0.1647597000002861,0.1932876502474149,0.28417770862579345,0.39520569841066994,0.486699981490771,0.5423182288805644
14,layer3.1.conv2,0.1647597000002861,0.22291393727064132,0.31370760103066764,0.4138186862071355,0.6016771535078684,0.8165697733561198
15,layer4.0.conv1,0.1647597000002861,0.19219877968231838,0.25441950261592866,0.5119839052359263,0.6118023018042247,0.8706341942151388
16,layer4.0.conv2,0.1647597000002861,0.17796939263741177,0.1905827020605405,0.2329962501923243,0.4124582310517629,0.703440523147583
17,layer4.0.downsample.0,0.1647597000002861,0.18317770113547643,0.19686397363742192,0.21233189851045609,0.23612787822882333,0.24611434936523438
18,layer4.1.conv1,0.1647597000002861,0.1842813675602277,0.21887844701608022,0.2438460484147072,0.3530108630657196,0.9906452198823293
19,layer4.1.conv2,0.1647597000002861,0.16741868605216345,0.1756972352663676,0.18485072205464045,0.20743186970551808,0.3569738080104192
