,0,1,2,3,4,5,6
0,conv1,0.10059479872385661,0.19844635476668676,0.27457853555679324,0.33302584985891975,0.35807892978191375,0.3763922224442164
1,layer1.0.conv1,0.10059479872385661,0.11624974807103475,0.15506760676701864,0.221884390215079,0.2714496771494547,0.3112050503492355
2,layer1.0.conv2,0.10059479872385661,0.1238081581890583,0.17289539178212485,0.17659234503904978,0.20033289343118668,0.23745039502779644
3,layer1.1.conv1,0.10059479872385661,0.10686329479018847,0.12840688675642015,0.1623283291856448,0.19633998920520146,0.22202637493610383
4,layer1.1.conv2,0.10059479872385661,0.11043068294723829,0.1159697026014328,0.12693553616603215,0.15297288000583648,0.16196883718172708
5,layer2.0.conv1,0.10059479872385661,0.10724075188239415,0.1273399365444978,0.1462331622838974,0.17455264230569204,0.2618925114472707
6,layer2.0.conv2,0.10059479872385661,0.10457680697242419,0.12682164038221042,0.14151513675848643,0.1629618470867475,0.17092081507047016
7,layer2.0.downsample.0,0.10059479872385661,0.11978227843840918,0.15556656221548718,0.19001696308453878,0.23968857675790786,0.301816655198733
8,layer2.1.conv1,0.10059479872385661,0.10431819582978884,0.11946170032024384,0.13253245602051417,0.15714061210552852,0.17471138139565787
9,layer2.1.conv2,0.10059479872385661,0.10594055900971094,0.11183032517631848,0.12046047498782476,0.13107485075791678,0.16530224879582722
10,layer3.0.conv1,0.10059479872385661,0.10736679037412007,0.11426621749997139,0.1326913187901179,0.15412957817316056,0.17822049011786778
11,layer3.0.conv2,0.10059479872385661,0.10491373961170515,0.11261228720347087,0.1277269499997298,0.1445328672726949,0.16345528413852056
12,layer3.0.downsample.0,0.10059479872385661,0.10945672517021497,0.12291929324467978,0.14334898591041564,0.17677016854286193,0.23132568349440893
13,layer3.1.conv1,0.10059479872385661,0.1047021691997846,0.11184597760438919,0.11952132607499759,0.12956697791814803,0.1388489489754041
14,layer3.1.conv2,0.10059479872385661,0.1041542001068592,0.10981427878141403,0.11829148282607396,0.13529567966858547,0.14463142454624175
15,layer4.0.conv1,0.10059479872385661,0.1037754071255525,0.10981447423497835,0.11678899551431338,0.12762951503197353,0.1441974624991417
16,layer4.0.conv2,0.10059479872385661,0.10627449204524358,0.11036803796887398,0.11995934198300044,0.1251893584926923,0.13192650924126306
17,layer4.0.downsample.0,0.10059479872385661,0.11026656503478686,0.12696994791428248,0.16358426908651988,0.19966881771882375,0.2560180455446243
18,layer4.1.conv1,0.10059479872385661,0.10209592034419378,0.10278498431046804,0.1034495142598947,0.10456989233692487,0.10618332078059514
19,layer4.1.conv2,0.10059479872385661,0.1027385155359904,0.10667893712719281,0.10891756142179171,0.10846800804138183,0.10880224655071895
